2019-02-01,50300,51100,49950,50600
2019-02-02,50800,52500,51000,51500
2019-02-03,51300,51000,50100,50300
2019-02-04,50300,50800,49850,50400
2019-02-05,50800,53000,50800,52800
2019-02-06,52000,53500,51900,53500
2019-02-07,53900,54700,52700,53900
2019-02-08,54300,54500,53200,53300
2019-02-09,53000,53900,52800,53000
2019-02-10,53900,55200,53500,55100
2019-02-11,55300,55800,54300,55000
2019-02-12,54700,54800,53200,54200
2019-02-13,50300,52000,49950,50600
2019-02-14,50800,51100,51000,51000
2019-02-15,51300,52500,50100,50300
2019-02-16,50300,51000,49850,50400
2019-02-17,50800,53000,50800,52800
2019-02-18,52000,55000,51900,53500
2019-02-19,53900,54000,52700,53900
2019-02-20,54300,54700,53200,53300
2019-02-21,53000,54500,52800,53000
2019-02-22,53900,56000,53500,55100
2019-02-23,55300,55200,54300,55000
2019-02-24,54700,55800,53200,54200
2019-02-25,52000,56000,53200,55100
2019-02-26,53900,56150,52800,55000
2019-02-27,54300,55800,53500,54200
2019-02-28,53000,54800,54300,53300
